epoch,map_05095,map_05
1,0.04031159561439013,0.12053973601063475
2,0.11593498567952243,0.4672575416476513
3,0.22964944074863264,0.5868812346414254
4,0.27957083287652573,0.6191571253240294
5,0.34582421964549737,0.6532458485611978
6,0.39722751450301824,0.6874637337892957
7,0.40027781342722724,0.7213632011449145
8,0.46571829860716024,0.7384767004338614
9,0.47822245989485695,0.736049564238661
10,0.491950553149826,0.7309533846791948
11,0.4405000402392672,0.7029187705337948
12,0.47395933223145575,0.6938952692842368
13,0.5209978391080877,0.7319783450969085
14,0.5542907642532737,0.7672881701777673
15,0.5534967239303611,0.7468502145749605
16,0.44076303357790036,0.6604437489157223
17,0.4974086344727934,0.7419606654483716
18,0.5663430672505617,0.7800749787791116
19,0.5732163265375709,0.7881933109665072
20,0.5847266904711778,0.7939398021055988
21,0.6166145390408543,0.8300649989811012
22,0.6051660185768899,0.8128366551803553
23,0.5982815931764044,0.7922907647427158
24,0.5889188971833794,0.7723344017322987
25,0.5933380338131263,0.7731933596091928
